이클립스 단축키

단축키 목록보기         ctrl+shift+L
저장                    ctrl+S
실행                    ctrl+F11
전체 선택               ctrl+A
한 줄 삭제              ctrl+D
다음 단어 삭제          ctrl+delete
이전 단어 삭제          ctrl+backspace
단어간 커서 이동        ctrl+방향키 좌,우
찾기/바꾸기             ctrl+F
검색                    ctrl+H
주석/해제               ctrl+/
범위 주석/해제          ctrl+shift+/ or \
멀티 컬럼 편집      alt+shift+A, shift+방향키 상,하
행 이동(여러 행 가능)   alt+방향키 상,하
행 복사(여러 행 가능)   alt+ctrl+방향키 상,하
자동 들여쓰기           ctrl+i
자동 형식 맞추기        ctrl+shift+F
자동 완성               ctrl+space
단어 완성               단어 일부분 입력후,alt+/
자동 수정(Quick fix)    ctrl+1
같은 단어 표시(형광펜)  alt+shift+O
행으로 이동             ctrl+L
최근 수정지점으로 이동  ctrl+Q
소스 탭 간 이동         ctrl+pgUp or pgDn
소스 탭 목록 보기       ctrl+shift+E
현재 소스 탭 닫기       ctrl+F4
리소스(파일) 찾기       ctrl+shift+R
편집 이력 이동          alt+방향키 좌,우
편집창 폰트 크기        ctrl+ +,-
속성 보기               alt+Enter
선언 보기               F3
상속 계층도 보기        클래스 이름 클릭, F4
상속 계층도 보기        ctrl+T
경로 보기               alt+shift+B
import문 자동 추가      ctrl+shift+O
멤버 목록 보기          ctrl+O
